,Unnamed: 0,singkatan,kata asal
469,,istrht,istirahat 
470,,item,hitam 
471,,itumah,itu 
472,,ituu,itu 
473,,iy,iya 
475,,iyach,iya
476,,iyain,mengiyakan 
477,,iyap,iya
478,,iyapz,iya
479,,iyoo,iya 
480,,iyup,iya
481,,iyupz,iya
482,,jadiin,jadi 
483,,jadull,jadul 
484,,jamber,jam berapa
485,,jancoeg,jancuk 
486,,jatoh,jatuh 
487,,jawabanya,jawabannya 
488,,jd,jadi 
490,,jdi,jadi 
492,,jdny,jadinya 
493,,jdnya,jadinya 
494,,jdwl,jadwal 
495,,jem,jam 
496,,jg,juga 
498,,jga,juga 
500,,jgan,jangan 
501,,jglh,jagalah 
502,,jgn,jangan 
504,,jgnjgn,jangan-jangan 
505,,jing,anjing 
506,,jink,anjing 
507,,jk,jika 
508,,jkrt,jakarta 
509,,jkt,jakarta 
510,,jl,jalan 
511,,jln,jalan 
512,,jm,jam 
513,,jmbtn,jembatan 
514,,jml,jumlah 
515,,jmlh,jumlah 
516,,jmpt,jemput 
517,,jmt,jumat 
518,,jng,jangan 
519,,jngan,jangan 
521,,jngn,jangan 
523,,jpn,jepang 
524,,jrg,jarang 
525,,jrng,jarang 
526,,jwb,jawab 
527,,jwbn,jawaban 
528,,jwbny,jawabannya 
529,,kacian,kasihan
530,,kagak,tidak 
531,,kaka,kakak
532,,kalee,kali 
533,,kaleyan,kalian
534,,kalo,kalau 
535,,kalu,kalau
536,,kamsud,maksud 
537,,kaos/mug/jaket, 
538,,karna,karena 
539,,karoke,karaoke 
540,,kasian,kasihan 
541,,kau,kamu 
543,,kayak,mirip 
544,,kayanya,kayaknya 
545,,kbnykn,kebanyakan 
546,,kbr,kabar 
547,,kbtln,kebetulan 
548,,kbykn,kebanyakan 
549,,kdg,kadang 
550,,kdng,kadang 
551,,kdpn,ke depan
552,,kebawa,terbawa 
553,,kecakepan,kecakapan 
554,,keknya,sepertinya 
555,,kelaperan,kelaparan 
556,,kelar,selesai 
557,,keles,kali
558,,keliatan,kelihatan 
559,,kemaren,kemarin 
560,,kenapah,kenapa
561,,kenape,kenapa 
562,,kenaps,kenapa
563,,kenapz,kenapa
564,,kenceng,kencang 
565,,kepengen,ingin 
566,,kepngn,ingin 
567,,kepo,ingin tahu
568,,kerikil,kerikil 
569,,kesampean,kesampaian 
570,,kesel,kesal 
571,,kesian,kasihan 
572,,ketawa,tertawa 
573,,keujanan,kehujanan 
574,,keyen,keren
575,,kga,tidak 
576,,kgak,tidak 
577,,kgk,tidak 
578,,khabar,kabar 
579,,khan,kan 
581,,khanz,kan
582,,khsny,khususnya 
583,,khwtr,khawatir 
584,,kirimin,kirimkan 
585,,kite,kita 
586,,kk,kakak 
588,,kl,kalau 
589,,klau,kalau 
590,,klh,kalah 
591,,kli,kali 
592,,klmpk,kelompok 
593,,klo,kalau 
595,,klp,kelompok 
596,,kls,kelas 
597,,klu,kalau 
598,,kluar,keluar 
599,,klw,kalau 
601,,km,kamu 
603,,kmaren,kemarin 
604,,kmi,kami 
605,,kmn,kemana 
606,,kmna,kemana 
607,,kmpret,kampret 
608,,kmps,kamus 
609,,kmr,kamar 
610,,kmren,kemarin 
611,,kmrin,kemarin 
612,,kmrn,kemarin 
614,,kmu,kamu 
616,,kn,kan 
617,,kna,kena 
618,,knapa,kenapa 
619,,kngen,kangen 
620,,knl,kenal 
621,,knp,kenapa 
623,,knpa,kenapa 
624,,kntr,kantor 
625,,knyng,kenyang 
626,,konsen,konsentrasi 
627,,koq,kok 
629,,kosan,kost 
630,,kowe,kamu 
631,,kpala,kepala 
632,,kpan,kapan 
634,,kpd,kepada 
635,,kpgn,ingin 
636,,kpn,kapan 
638,,kpngn,ingin 
639,,krg,kurang 
640,,krikil,kerikil 
641,,krja,kerja 
642,,krmh,ke rumah
643,,krn,karena 
644,,krna,karena 
645,,krng,kurang 
646,,krupuk,kerupuk 
647,,ksh,kasih 
648,,ksian,kasihan 
649,,ksih,kasih 
650,,ksmptn,kesempatan 
651,,ksn,kesana 
652,,kt,kita 
653,,kta,kita 
654,,ktdrn,ketiduran 
655,,ktemu,ketemu 
656,,ktmpt,ke tempat
657,,ktmu,ketemu 
658,,ktny,katanya 
659,,ktnya,katanya 
660,,ktr,kantor 
661,,kuq,kok
662,,kuy,ayo
663,,kw,kamu
664,,kyak,seperti 
665,,kyaknya,sepertinya 
666,,kyanya,sepertinya 
667,,kyk,seperti 
669,,kykny,sepertinya 
670,,kyknya,sepertinya 
671,,kyny,sepertinya 
672,,kzl,kesal 
674,,laen,lain 
675,,laff,cinta
676,,lagian,lagi 
677,,lam,salam
678,,laper,lapar 
679,,lb,lembar 
680,,lbh,lebih 
681,,lbih,lebih 
682,,leh,boleh
